object,time_s,raw,voltage
beans,0.001,320,0.0161
beans,0.052,944,0.0475
beans,0.103,304,0.0153
beans,0.153,896,0.0451
beans,0.204,320,0.0161
beans,0.255,784,0.0395
beans,0.305,31959,1.6093
beans,0.356,51964,2.6166
beans,0.406,57165,2.8785
beans,0.457,58350,2.9382
beans,0.508,60126,3.0276
beans,0.558,60350,3.0389
beans,0.609,60766,3.0599
beans,0.659,60622,3.0526
beans,0.710,61647,3.1042
beans,0.760,61198,3.0816
beans,0.811,61535,3.0986
beans,0.862,61166,3.0800
beans,0.912,61967,3.1203
beans,0.963,61759,3.1099
beans,1.013,61759,3.1099
beans,1.064,61999,3.1219
beans,1.114,61551,3.0994
beans,1.165,62111,3.1276
beans,1.216,61871,3.1155
beans,1.266,61887,3.1163
beans,1.317,62239,3.1340
beans,1.367,61711,3.1074
beans,1.418,62287,3.1364
beans,1.468,62175,3.1308
beans,1.519,61887,3.1163
beans,1.569,62031,3.1236
beans,1.620,62031,3.1236
beans,1.671,61871,3.1155
beans,1.721,61951,3.1195
beans,1.772,62223,3.1332
beans,1.822,61903,3.1171
beans,1.873,62095,3.1268
beans,1.923,62111,3.1276
beans,1.974,61919,3.1179
ball,0.000,880,0.0443
ball,0.051,288,0.0145
ball,0.102,816,0.0411
ball,0.153,320,0.0161
ball,0.203,656,0.0330
ball,0.254,336,0.0169
ball,0.305,320,0.0161
ball,0.355,33080,1.6657
ball,0.406,50700,2.5530
ball,0.457,56333,2.8366
ball,0.507,58494,2.9455
ball,0.558,58766,2.9591
ball,0.608,59982,3.0204
ball,0.659,60462,3.0446
ball,0.709,60734,3.0582
ball,0.760,60894,3.0663
ball,0.811,61631,3.1034
ball,0.861,62095,3.1268
ball,0.912,61999,3.1219
ball,0.962,62207,3.1324
ball,1.013,61743,3.1091
ball,1.063,62143,3.1292
ball,1.114,62159,3.1300
ball,1.164,61967,3.1203
ball,1.215,62223,3.1332
ball,1.266,62079,3.1260
ball,1.316,62367,3.1405
ball,1.367,62287,3.1364
ball,1.417,62127,3.1284
ball,1.468,62271,3.1356
ball,1.518,62463,3.1453
ball,1.569,62303,3.1373
ball,1.619,62511,3.1477
ball,1.670,62383,3.1413
ball,1.721,62415,3.1429
ball,1.771,62399,3.1421
ball,1.822,62207,3.1324
ball,1.872,62223,3.1332
ball,1.923,62223,3.1332
ball,1.973,62335,3.1389
sponge,0.000,320,0.0161
sponge,0.051,320,0.0161
sponge,0.102,256,0.0129
sponge,0.152,336,0.0169
sponge,0.202,320,0.0161
sponge,0.253,368,0.0185
sponge,0.304,30791,1.5505
sponge,0.354,52012,2.6191
sponge,0.405,55037,2.7714
sponge,0.455,57758,2.9084
sponge,0.506,58430,2.9422
sponge,0.556,59070,2.9745
sponge,0.607,60094,3.0260
sponge,0.658,59966,3.0196
sponge,0.708,60638,3.0534
sponge,0.759,60478,3.0454
sponge,0.809,61246,3.0840
sponge,0.860,61422,3.0929
sponge,0.910,61887,3.1163
sponge,0.961,61615,3.1026
sponge,1.011,61150,3.0792
sponge,1.061,61519,3.0978
sponge,1.112,61935,3.1187
sponge,1.162,61855,3.1147
sponge,1.213,61775,3.1107
sponge,1.263,62111,3.1276
sponge,1.314,62047,3.1244
sponge,1.364,61887,3.1163
sponge,1.415,61711,3.1074
sponge,1.466,62351,3.1397
sponge,1.516,62351,3.1397
sponge,1.567,62015,3.1228
sponge,1.617,62159,3.1300
sponge,1.668,62127,3.1284
sponge,1.718,62191,3.1316
sponge,1.769,61935,3.1187
sponge,1.820,62159,3.1300
sponge,1.870,62255,3.1348
sponge,1.921,62127,3.1284
sponge,1.971,61999,3.1219
spoon,0.000,1280,0.0645
spoon,0.051,7585,0.3819
spoon,0.102,320,0.0161
spoon,0.153,21989,1.1073
spoon,0.204,29271,1.4739
spoon,0.254,42810,2.1557
spoon,0.305,50380,2.5369
spoon,0.355,54317,2.7351
spoon,0.406,56941,2.8673
spoon,0.456,58302,2.9358
spoon,0.507,59166,2.9793
spoon,0.558,59406,2.9914
spoon,0.608,59870,3.0147
spoon,0.659,59790,3.0107
spoon,0.709,60430,3.0429
spoon,0.760,60702,3.0566
spoon,0.810,60558,3.0494
spoon,0.861,60494,3.0462
spoon,0.912,61214,3.0824
spoon,0.962,61711,3.1074
spoon,1.013,61583,3.1010
spoon,1.063,61390,3.0913
spoon,1.114,61679,3.1058
spoon,1.164,61919,3.1179
spoon,1.215,61727,3.1082
spoon,1.265,61487,3.0962
spoon,1.316,61839,3.1139
spoon,1.367,62383,3.1413
spoon,1.417,62335,3.1389
spoon,1.468,61887,3.1163
spoon,1.518,62159,3.1300
spoon,1.569,62095,3.1268
spoon,1.619,62191,3.1316
spoon,1.670,62287,3.1364
spoon,1.721,62399,3.1421
spoon,1.771,62463,3.1453
spoon,1.822,62095,3.1268
spoon,1.872,62287,3.1364
spoon,1.923,62543,3.1493
spoon,1.973,62175,3.1308
bottle,0.000,384,0.0193
bottle,0.051,304,0.0153
bottle,0.102,336,0.0169
bottle,0.152,320,0.0161
bottle,0.203,33720,1.6980
bottle,0.254,53261,2.6819
bottle,0.304,56397,2.8399
bottle,0.355,58574,2.9495
bottle,0.405,59790,3.0107
bottle,0.456,60526,3.0478
bottle,0.507,61182,3.0808
bottle,0.557,61326,3.0881
bottle,0.608,61278,3.0856
bottle,0.658,61679,3.1058
bottle,0.709,61535,3.0986
bottle,0.759,62063,3.1252
bottle,0.810,61791,3.1115
bottle,0.860,61871,3.1155
bottle,0.911,62175,3.1308
bottle,0.962,61903,3.1171
bottle,1.012,62111,3.1276
bottle,1.063,62063,3.1252
bottle,1.113,62351,3.1397
bottle,1.164,62431,3.1437
bottle,1.214,62383,3.1413
bottle,1.265,61839,3.1139
bottle,1.315,62223,3.1332
bottle,1.366,62143,3.1292
bottle,1.417,62303,3.1373
bottle,1.467,62271,3.1356
bottle,1.518,62431,3.1437
bottle,1.568,62031,3.1236
bottle,1.619,62415,3.1429
bottle,1.669,62399,3.1421
bottle,1.720,62175,3.1308
bottle,1.770,62415,3.1429
bottle,1.821,62303,3.1373
bottle,1.871,62271,3.1356
bottle,1.921,62495,3.1469
bottle,1.972,62223,3.1332
